"gene","subtype","expr_significant","outlier_significant","rank_significant","n_methods_significant","expr_fold_change","target_expr","expr_fdr","outlier_fdr","target_rank"
"DDX11","scne",FALSE,TRUE,FALSE,1,1.25021523893598,3.81051837747436,NA,0.000135837182204518,0.516404199475066
"DEUP1","scne",FALSE,TRUE,FALSE,1,3.23100662451061,0.109594409278618,NA,0.000150993189750146,0.036745406824147
"INTS7","scne",FALSE,TRUE,FALSE,1,1.18123236561006,4.21366090853265,NA,0.000227073599315117,0.603674540682415
"PSRC1","scne",FALSE,TRUE,FALSE,1,1.75805460243737,4.80507649702745,NA,0.000248998036920917,0.711942257217848
"ANKLE1","scne",FALSE,TRUE,FALSE,1,2.60127552236221,1.20307330457404,NA,0.000319353157068011,0.144356955380577
"NANOS3","scne",FALSE,TRUE,FALSE,1,5.70566822060505,0.609742377421416,NA,0.000336467224511451,0.0971128608923885
"DBF4B","scne",FALSE,TRUE,FALSE,1,1.44837744561571,1.54427552757791,NA,0.000387416882584306,0.183727034120735
"MBTD1","scne",FALSE,TRUE,FALSE,1,0,0,NA,0.000477349774686625,0.0124671916010499
"PRPF4B","scne",FALSE,TRUE,FALSE,1,1.41810436206666,2.46510329698059,NA,0.000498803225189554,0.285433070866142
"SPAST","scne",FALSE,TRUE,FALSE,1,1.22074066598057,4.03356416077968,NA,0.000549031591362282,0.570209973753281
"STXBP4","scne",FALSE,TRUE,FALSE,1,1.44468424416237,1.82794745538231,NA,0.000610516934762978,0.203412073490814
"HAUS6","scne",FALSE,TRUE,FALSE,1,1.20742527008355,3.98074236726948,NA,0.000732964677542301,0.55511811023622
"HAUS3","scne",FALSE,TRUE,FALSE,1,1.1464447474157,3.46169158983942,NA,0.00074896302533706,0.441601049868766
"DYNC1H1","scne",FALSE,TRUE,FALSE,1,1.71410149983729,1.48761943052736,NA,0.00074896302533706,0.177165354330709
"GFI1B","scne",FALSE,TRUE,FALSE,1,4.25429252768876,0.47464764797492,NA,0.00074896302533706,0.0813648293963255
"SH3GLB1","scne",FALSE,TRUE,FALSE,1,0.955666368407311,6.04001809531733,NA,0.000797956485126143,0.891076115485564
"CCP110","scne",FALSE,TRUE,FALSE,1,1.37420386540754,4.22098367870367,NA,0.000803561465704417,0.605643044619423
"ANAPC5","scne",FALSE,TRUE,FALSE,1,1.1082559498676,5.56104315049898,NA,0.0008085308109201,0.835958005249344
"CEP295NL","scne",FALSE,TRUE,FALSE,1,3.85403499917589,0.165724443871314,NA,0.00102657555638805,0.0446194225721785
"ASNS","scne",FALSE,TRUE,FALSE,1,1.46583697998055,6.16681325258644,NA,0.00107693446448387,0.898950131233596
"EXD1","scne",FALSE,TRUE,FALSE,1,5.14348169957054,0.0474773243778879,NA,0.00111761180257095,0.0255905511811024
"SDE2","scne",FALSE,TRUE,FALSE,1,1.0913894081813,3.96778716474961,NA,0.00121956395654976,0.550524934383202
"EIF4E","scne",FALSE,TRUE,FALSE,1,1.05939972799751,6.269326263234,NA,0.00121956395654976,0.906824146981627
"MIS12","scne",FALSE,TRUE,FALSE,1,1.17337463254488,5.14795157664603,NA,0.00121956395654976,0.771653543307087
"BRCA2","scne",FALSE,TRUE,FALSE,1,1.80471517380305,1.12334932824794,NA,0.00130949491900096,0.136482939632546
"ORC4","scne",FALSE,TRUE,FALSE,1,1.2604002394444,3.61504268308036,NA,0.00153311024155094,0.478346456692913
"TAOK3","scne",FALSE,TRUE,FALSE,1,0.796371448239478,3.50285839309901,NA,0.00158378957642567,0.450787401574803
"PLD6","scne",FALSE,TRUE,FALSE,1,1.97269484170214,3.12174451132931,NA,0.00164283298956562,0.375984251968504
"CKAP5","scne",FALSE,TRUE,FALSE,1,1.62748632244504,1.33636613115469,NA,0.00169440178980947,0.16010498687664
"WNT10B","scne",FALSE,TRUE,FALSE,1,2.93483400918338,1.30260162439866,NA,0.00176407996345913,0.156167979002625
"PRPF19","scne",FALSE,TRUE,FALSE,1,1.06921676776921,6.8439823355212,NA,0.00178448071969067,0.94750656167979
"TUBA8","scne",FALSE,TRUE,FALSE,1,2.6959363717833,1.40336741872307,NA,0.00179125562549183,0.168635170603675
"TARDBP","scne",FALSE,TRUE,FALSE,1,1.36572054873447,5.13243210443775,NA,0.00181026645858387,0.766404199475066
