"gene","subtype","n_methods_significant","expr_fold_change","target_expression","expr_fdr","target_rank"
"NFIA","mes",1,1.19001986635624,3.37404931992198,NA,0.467191601049869
"TRIM35","mes",1,1.18624613541036,3.33946012374501,NA,0.464566929133858
"HECA","mes",1,1.1845693529126,4.63477815109081,NA,0.710629921259842
"DUSP3","mes",1,1.1836647589815,5.55869100339449,NA,0.837270341207349
"CCND3","mes",1,1.18289155940227,6.25990721256153,NA,0.906167979002625
"TERF2","mes",1,1.17277274046482,4.20154212031138,NA,0.624671916010499
"SNX18","mes",1,1.1689024517367,4.20305915791952,NA,0.626640419947507
"ZBTB17","mes",1,1.16670756599354,3.72857760189603,NA,0.532152230971129
"TUBGCP2","mes",1,1.16426350629954,4.64378593892584,NA,0.71259842519685
"PKN2","mes",1,0.86037677089241,3.74571198029315,NA,0.536089238845144
"PIAS1","mes",1,1.15892818535745,4.04902809381779,NA,0.598425196850394
"MUS81","mes",1,1.15764096611259,3.89982065639745,NA,0.566929133858268
"PIM3","mes",1,1.15572526447021,5.66850924936531,NA,0.856299212598425
"ZFYVE26","mes",1,1.15557413792516,3.05644703858152,NA,0.416666666666667
"NUDT15","mes",1,0.869724079706863,4.31263132734937,NA,0.650918635170604
"CDK11B","mes",1,1.14889084280729,4.71433059248588,NA,0.721784776902887
"CTDSP2","mes",1,1.1487458613874,6.50331781347568,NA,0.924540682414698
"UIMC1","mes",1,1.14847774436052,4.51194432257404,NA,0.69750656167979
"DCAF13","mes",1,0.871070966674143,5.41927253184302,NA,0.824803149606299
"ZWILCH","mes",1,0.874661577573162,3.27156788028237,NA,0.454068241469816
"GINS3","mes",1,0.876561005617549,3.06204494178855,NA,0.417979002624672
"SDCBP","mes",1,1.14070756466133,8.09696441784323,NA,0.977690288713911
"CTDNEP1","mes",1,1.13964428627618,6.97285746791678,NA,0.948162729658793
"SPTBN1","mes",1,1.13777551341601,5.34823525441904,NA,0.81758530183727
"MAP4","mes",1,1.1362323796594,6.13121463744994,NA,0.893700787401575
"CDK11A","mes",1,1.13610077081742,3.80515427977544,NA,0.547900262467192
"CDK9","mes",1,1.13352307990801,5.13016387001584,NA,0.782152230971129
"NUP214","mes",1,1.13025281006517,3.52641435669088,NA,0.496062992125984
"BAP1","mes",1,1.12742185008624,4.83205239019736,NA,0.742125984251969
"SEPTIN9","mes",1,1.12490690341741,7.27871183859141,NA,0.960629921259842
"PTPN11","mes",1,1.12175958368295,5.20630134818229,NA,0.796587926509186
"MACROH2A1","mes",1,0.89268735007333,6.50778857265673,NA,0.925196850393701
"LSM10","mes",1,1.11399244740852,6.46768946015536,NA,0.919291338582677
"ARL2","mes",1,1.11316965853291,6.80923860612965,NA,0.938976377952756
"TOP3B","mes",1,1.11245296924057,2.51608158561198,NA,0.333989501312336
"THAP1","mes",1,1.1113790098609,3.86699126636428,NA,0.559711286089239
"TLK1","mes",1,1.10965842121642,4.18787600339244,NA,0.622047244094488
"RPS27L","mes",1,1.10688019914928,8.51020633179945,NA,0.98490813648294
"DLG1","mes",1,0.904070616816056,4.1829932588065,NA,0.62007874015748
"NUP37","mes",1,0.904369541635354,4.84823869409113,NA,0.743438320209974
"PRKACA","mes",1,1.10413868870034,5.88072401537107,NA,0.876640419947507
"RAD51B","mes",1,0.909603802021731,2.5333998577725,NA,0.335958005249344
"EXOC2","mes",1,1.09685322326993,3.99040685522197,NA,0.587270341207349
"RIOK2","mes",1,1.09468177694382,3.94218400994416,NA,0.578740157480315
"CALM1","mes",1,1.09351888938139,7.64653819947169,NA,0.967847769028871
"TBRG4","mes",1,0.916607054738707,4.79332971157201,NA,0.73490813648294
"RAB35","mes",1,1.08952879843002,5.42225611348208,NA,0.825459317585302
