"gene","subtype","n_methods_significant","expr_fold_change","target_expression","expr_fdr","target_rank"
"POLA1","scne",1,1.73060180719288,1.26378374653956,NA,0.152887139107612
"CIT","scne",1,1.72396281579583,2.45988387824109,NA,0.284120734908136
"DYNC1H1","scne",1,1.71410149983729,1.48761943052736,NA,0.177165354330709
"ATAD5","scne",1,1.7131711729499,2.52172634050092,NA,0.292650918635171
"CKAP5","scne",1,1.62748632244504,1.33636613115469,NA,0.16010498687664
"CDC14A","scne",1,1.6227820098819,3.65463154138876,NA,0.486876640419947
"ASAH2","scne",1,1.60017787634632,0.870129348593079,NA,0.118110236220472
"SEPTIN5","scne",1,1.56002829125899,3.77275892423775,NA,0.509842519685039
"DSCC1","scne",1,1.55914218013806,4.38588399150157,NA,0.640419947506562
"TIMELESS","scne",1,1.5286350461956,3.20034719594265,NA,0.391076115485564
"MTBP","scne",1,1.52718411264301,3.12922374345037,NA,0.377952755905512
"CENPJ","scne",1,1.52327038643088,2.28596010198716,NA,0.263779527559055
"CEP152","scne",1,1.52256239342871,2.34477153480292,NA,0.268372703412073
"SNX33","scne",1,0.657729657146437,1.9985098683909,NA,0.221128608923885
"PML","scne",1,0.666242088176629,2.72603302298581,NA,0.324803149606299
"BARD1","scne",1,1.50081745548538,3.22090014768548,NA,0.396325459317585
"EML3","scne",1,0.670026940639098,1.52104570117166,NA,0.181758530183727
"INCA1","scne",1,1.4911557535707,1.05006963391491,NA,0.131889763779528
"APBB1","scne",1,1.48817431711014,0.862619318488405,NA,0.11745406824147
"RMI1","scne",1,1.47061870949897,4.7663098919275,NA,0.707349081364829
"ASNS","scne",1,1.46583697998055,6.16681325258644,NA,0.898950131233596
"CEP97","scne",1,1.45218989444502,3.04053062034189,NA,0.360236220472441
"DBF4B","scne",1,1.44837744561571,1.54427552757791,NA,0.183727034120735
"STXBP4","scne",1,1.44468424416237,1.82794745538231,NA,0.203412073490814
"FBXO5","scne",1,1.43694769063109,5.04413531214383,NA,0.75
"CCDC61","scne",1,0.696611486996741,2.11714270574701,NA,0.236876640419947
"PLEC","scne",1,0.697624928241345,3.02351037613363,NA,0.356955380577428
"FBXO6","scne",1,0.698416795112812,3.06890137131099,NA,0.368110236220472
"GBF1","scne",1,0.7006613879895,2.20093633270379,NA,0.250656167979003
"TMEM67","scne",1,1.42001923004508,2.5149735419166,NA,0.291338582677165
"PRPF4B","scne",1,1.41810436206666,2.46510329698059,NA,0.285433070866142
"RAD1","scne",1,1.40298029651089,4.35515927858583,NA,0.635170603674541
"MAP9","scne",1,1.38848102391308,2.30646994503449,NA,0.266404199475066
"TADA2A","scne",1,1.37450662118796,1.34958085152775,NA,0.163385826771654
"CCP110","scne",1,1.37420386540754,4.22098367870367,NA,0.605643044619423
"CCSAP","scne",1,1.37256064015067,3.78728695533774,NA,0.511154855643045
"CDK19","scne",1,1.36647594631638,4.23721200112321,NA,0.611548556430446
"TARDBP","scne",1,1.36572054873447,5.13243210443775,NA,0.766404199475066
"CEP76","scne",1,1.3605196847784,3.3708049601133,NA,0.423884514435696
"UBE2S","scne",1,1.35069549929325,5.51200533870158,NA,0.829396325459318
"POLE","scne",1,1.34790876090691,2.68736289478351,NA,0.313648293963255
"PPP2R2D","scne",1,1.34652916710413,1.57317111896151,NA,0.185695538057743
"SLF1","scne",1,1.34208965437084,1.99780661938606,NA,0.220472440944882
"CDK8","scne",1,1.3366858584619,3.43308131118094,NA,0.436351706036745
"NUDT6","scne",1,1.32970553312827,3.21736631888149,NA,0.39501312335958
"TBCE","scne",1,1.32831863909709,2.39241314537134,NA,0.276246719160105
"BCL7A","scne",1,1.3248922532632,3.96965386175739,NA,0.551837270341207
"BCL6","scne",1,0.758466628470339,3.63365523671644,NA,0.481627296587927
"TOP3A","scne",1,1.30666293127819,3.50799268350773,NA,0.451443569553806
"USP37","scne",1,1.29754738919897,3.20407225942622,NA,0.393700787401575
"NLE1","scne",1,1.29732130329036,2.6682530200724,NA,0.310367454068241
"E2F3","scne",1,1.29595190086712,4.70051506449085,NA,0.693569553805774
"ING5","scne",1,1.29502268955776,3.56113604742629,NA,0.466535433070866
"LRP6","scne",1,1.29470336983049,2.699452540987,NA,0.318897637795276
"CGRRF1","scne",1,1.28995848857047,4.28413692245817,NA,0.619422572178478
"TUBE1","scne",1,1.28408616850076,3.43172916649448,NA,0.434383202099738
"SUN1","scne",1,1.2829577010929,4.27968227515561,NA,0.618766404199475
"POGZ","scne",1,1.28280182213348,5.28392966501655,NA,0.797244094488189
"MYH10","scne",1,1.28038572145355,3.65347468176542,NA,0.486220472440945
"MYH9","scne",1,0.781391643191807,5.22001233745871,NA,0.785433070866142
"CRY1","scne",1,1.27461039986118,4.61647635621721,NA,0.679790026246719
"LMNA","scne",1,0.786243342289456,4.98777096082931,NA,0.740157480314961
"SERTAD1","scne",1,0.786751528763534,3.51160194763619,NA,0.454068241469816
"MAD2L2","scne",1,1.26577022300457,6.77003618867974,NA,0.941601049868766
"ORC4","scne",1,1.2604002394444,3.61504268308036,NA,0.478346456692913
"MZT1","scne",1,1.2574189890871,5.81024686404822,NA,0.863517060367454
"TAOK3","scne",1,0.796371448239478,3.50285839309901,NA,0.450787401574803
"CEP295","scne",1,1.25560863234557,3.58241644749312,NA,0.471128608923885
"DDX11","scne",1,1.25021523893598,3.81051837747436,NA,0.516404199475066
"TRIM21","scne",1,0.803161826927591,3.7887153834466,NA,0.511811023622047
"HAUS1","scne",1,1.24186158096124,6.90576640293152,NA,0.948818897637795
"TFAP4","scne",1,1.2370529881162,3.37535080394326,NA,0.424540682414698
"MBIP","scne",1,1.23406258006799,4.98234522037473,NA,0.738188976377953
"APPL2","scne",1,1.23300730270937,5.35296024694203,NA,0.807742782152231
"CCNB1IP1","scne",1,1.23215378778783,6.53730392600835,NA,0.928477690288714
"TOPBP1","scne",1,1.22519108348121,4.70524939018319,NA,0.694225721784777
"TENT4A","scne",1,1.22434511724307,4.28448857572402,NA,0.62007874015748
"IQGAP1","scne",1,0.816819501912099,4.50925385474558,NA,0.664041994750656
"CIB1","scne",1,0.817198382965077,5.86332385440131,NA,0.868110236220472
"YEATS4","scne",1,1.22229514954082,6.03903500753655,NA,0.890419947506562
"BCR","scne",1,0.818776688855645,3.146637353451,NA,0.380577427821522
"SPAST","scne",1,1.22074066598057,4.03356416077968,NA,0.570209973753281
"TRIM37","scne",1,1.21783910627522,4.22280824660013,NA,0.606955380577428
"PPP3CA","scne",1,1.21476535265194,5.40663838997396,NA,0.812992125984252
"ZFP36L2","scne",1,0.825781895606694,5.34686281048045,NA,0.806430446194226
"ESCO1","scne",1,1.20942944460012,4.54244875762624,NA,0.670603674540682
